compound,Response
AZD3463 0.5uM,61.57
BMS-794833 0.5uM,89.72
Bosutinib 0.5uM,52.66323
Casein Kinase I Inhibitor (D4476) 0.5uM,100
Cdk1/2 Inhibitor III 0.5uM,45.54519
Control,100
Dasatinib 0.5uM,11.67805
"Dovitinib (TKI-258, CHIR-258) 0.5uM",23.48
EGFR/ErbB2/ErbB4 Inhibitor 0.5uM,99.3076
Erlotinib HCl 0.5uM,100
Gefitinib 0.5uM,100
Go 6983 0.5uM,100
GSK-3 Inhibitor IX 0.5uM,89.52457
GSK-3b Inhibitor I (TDZD-8) 0.5uM,100
GSK-3b Inhibitor XII (TWS119) 0.5uM,100
GZD824 0.5uM,26.59
H-89 Dihydrochloride 0.5uM,99.91641
Imatinib Mesylate 0.5uM,94.06938
JNK Inhibitor II (SP6) 0.5uM,100
K252a 0.5uM,40.61778
Lapatinib 0.5uM,100
Lck Inhibitor (RK 24466) 0.5uM,81.09543
LY 294002 0.5uM,100
Masitinib 0.5uM,100
Met Kinase Inhibitor (SU11274) 0.5uM,100
MGCD-265 0.5uM,99.848753
NCGC00263020-01 0.5uM,48
Nilotinib (AMN-107) 0.5uM,100
OSI-906 (Linsitinib) 0.5uM,100
PDGFR Tyrosine Kinase Inhibitor V 0.5uM,85.36375
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,18.0451
PF-477736 0.5uM,76.44
PP121 0.5uM,53.76
Regorafenib (BAY 73-4506) 0.5uM,96.79
ROCK Inhibitor Y-27632 0.5uM,100
SB 218078 0.5uM,92.53051
Sorafenib 0.5uM,100
Src Kinase Inhibitor I 0.5uM,88.92894
Staurosporine 0.5uM,17.11772
Sunitinib (free base) 0.5uM,100
"TGFb RI Kinase Inhibitor (LY364947, HTS 466284) 0.5uM",100
Tivozanib (AV-951) 0.5uM,100
Tofacitinib 0.5uM,98.95566
Vandetanib 0.5uM,100
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",93.06
"Vemurafenib (PLX4032, RG7204) 0.5uM",95.68
